class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,6,0,0,0,0,0,0,0,0,0,614,2130,1102,0,0,0,1080,0,152,0,140,364,10610,8826,6276,170,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3846,0,40,0,2,1104,28,1780,892,0,0,0,2736,224,82,50,26,30,52,324,124,198,17058,0,2,0,0,1080,112,5188,1078,na,na,na,na,na,na,na,na,6080,5.73,17058,17058,18406,20,12,1598,16860,3882,1209600,178,2,0,0,1223.04,0,1529.28,0,6,0,0,526,2012,466,312,530,0,0,0,0,4,17058,0,1156,8,8,6,2,590,1658,394,24,0,0,4,1316,48,0,0,0,0,1502,22,64,0,0,0,0,0,0,0,0,150,0,0,0,0,78,10,6120,612,0,0,0,0,0,0.68,32,2748,986,26,8,26,52,0,0,0,0,0,0
neg,90,0,0,66,0,0,0,0,0,0,10,6654,10296,0,0,0,7314,0,0,0,0,0,20636,14904,12140,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16960,0,152,44,58,690,376,15310,330,0,0,0,13044,1834,464,342,236,426,232,118,38,226,32822,0,0,0,0,7314,514,8274,3846,na,na,na,na,na,na,na,na,11740,90.49,32822,32822,33480,74,0,3044,32320,17072,1209600,0,4,10,0,10135.68,218.88,5763.84,2,18,0,0,0,1906,12248,2436,352,14,4,0,0,0,32822,0,1010,16,90,840,1204,11244,2552,4,0,0,88,174,10646,330,0,2,0,0,11848,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,156,0,0,0,0,1.74,88,7216,6718,1268,526,554,300,118,260,0,0,0,0
neg,30,na,16,14,0,0,0,0,0,0,120,0,6020,2886,0,0,3004,0,0,0,0,0,6466,2906,8574,1790,0,0,0,0,76,28,0,0,0,0,0,0,7930,0,1096,0,1300,20,40,44,1466,5742,414,0,0,0,7132,1146,184,126,156,202,76,4,0,0,15042,0,0,2,0,3004,210,4738,3814,na,na,na,na,na,na,na,na,8460,29.15,15042,15042,18640,29.0,88,1382,14940,9026,1209600,526,0,4,0,4187.52,0,3695.04,0,0,0,0,0,540,5096,2564,742,84,0,0,2,6,15042,na,1216,16,72,406,612,2728,2748,1162,66,0,20,150,3320,0,38,56,0,0,4806,62,38,0,0,0,0,0,0,0,0,158,6,2,0,0,246,82,3360,436,0,0,0,0,0,390.36,54,5120,3172,480,84,74,50,46,0,0,0,0,0
neg,444,na,14,12,0,0,0,0,0,0,17950,21856,15874,0,0,0,17860,0,0,0,1818,2860,55956,50768,22218,1178,0,0,0,0,42,16,0,0,0,0,0,0,0,34646,21034,0,1654,182,180,214,6230,47220,0,0,0,0,33064,10484,6002,2590,2212,572,314,382,60,0,80066,12,2,2,4,17860,720,12660,9456,na,na,na,na,na,na,na,na,21560,444.58,80066,80066,82266,173.0,0,7674,79000,55680,1209600,1310,0,4,0,25510.08,16113.6,12552.96,0,32,0,0,17306,16510,18486,2654,664,60,0,0,14,32,80066,na,1672,84,100,1368,7094,11362,30294,3598,108,0,18,20,25278,7828,0,6,0,0,26948,180,74,310,19916,0,0,0,0,0,0,882,102,28,0,0,794,170,60,6,0,0,0,0,0,504.88,226,30822,6150,1614,1144,3598,2460,1258,8524,110,0,0,0
neg,82,na,12,10,0,0,0,0,1464,4980,13632,11326,3986,0,0,0,11678,0,0,0,5922,11832,21320,13314,46554,5114,0,0,0,0,98,176,0,0,0,0,0,0,0,27128,8260,0,1490,190,320,438,1202,31748,0,0,0,0,29876,2646,928,782,362,90,86,542,60,16,73908,6,12,4,0,11678,454,28754,16782,na,na,na,na,na,na,na,na,45600,81.24,73908,73908,70654,86,0,6724,73080,35388,1209600,932,0,14,0,8710.08,0,25494.72,6,52,1412,5306,11834,11970,3734,1114,18,0,0,0,2,80,73908,na,1154,24,140,3232,5234,24878,726,0,0,0,18,246,8722,32,0,4,0,0,10362,276,408,0,0,0,0,0,0,0,0,772,20,2,228,42,356,84,1380,138,0,18,0,0,0,127.14,146,27406,5090,1010,132,310,56,92,1292,0,0,0,0
neg,324,na,2130706432,4,0,0,0,0,0,0,94,0,13294,15352,0,0,10388,0,0,0,0,0,30692,25728,6432,2410,0,0,0,0,34,12,0,0,0,0,0,0,26828,64,1844,0,1920,20,30,34,1558,25170,4,0,0,0,16504,7350,2716,1308,576,282,0,0,0,0,37158,0,96,2,0,10388,434,2562,3848,na,na,na,na,na,na,na,na,6200,324.64,37158,37158,40246,83.0,60,3546,36900,28756,1209600,1112,4,10,0,19634.88,0,7152,0,20,0,0,0,508,5632,9670,11844,898,184,0,0,4,37158,na,2002,30,54,1182,1362,12284,10604,1214,4,0,8,78,19840,9690,0,0,0,10,20626,106,50,0,0,0,0,0,0,0,0,342,72,30,0,0,356,108,40020,6284,0,0,0,0,0,98.42,74,9598,4536,1656,554,2032,10358,4,0,0,0,0,0
neg,1438,na,50,na,0,0,0,0,0,0,98,19238,69226,3098,0,0,41538,0,0,0,0,0,84538,72740,20510,7158,0,0,0,0,208,108,0,0,0,0,0,0,74396,16300,964,0,1088,26,64,44,31086,59350,2,0,0,0,32280,32756,15064,6334,2804,1596,820,6,0,0,105118,0,12,76,0,41538,1160,11320,9138,na,na,na,na,na,na,na,na,20100,1438.8,105118,105118,109552,301.0,1114,10178,104680,91660,1209600,0,na,na,na,74310.72,26.88,16197.12,0,0,0,0,0,4344,69652,16488,802,332,42,0,na,0,105118,na,1264,18,104,5998,1920,45244,34546,2560,6,0,na,na,na,na,na,na,na,na,na,142,46,0,0,0,26,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,438930,96.78,106,18372,9558,2872,1130,2414,56986,176,18,134,0,0,0
neg,115884,na,2130706432,1606,0,0,0,0,0,0,53038,1887164,3919106,1121906,6896,0,2927686,0,0,0,0,0,6566004,5966290,803738,498812,0,0,0,0,1330,328,0,0,0,0,0,334076,3868312,1979004,806718,0,3752,740,1374,2026,61928,6915156,3134,0,0,0,1920668,1568880,778610,647266,567616,536146,824940,143984,0,0,7370498,0,830,380,64,2927686,65618,507356,294474,97100,123980,112760,150680,117000,180620,na,na,11020,115883.58,7370498,7370498,7384330,38101.0,14966,4654,100060,6988110,1209600,241112,2,112,0,6332869.44,0,648905.28,0,562,0,0,0,439064,2389006,3103704,978478,62308,13728,1822,386,394,7370498,na,8328,1096,19220,595646,247022,4784548,1324118,8132,0,0,3194,740,6346160,122538,0,12606,0,8,6379778,4820,156,0,0,0,0,0,0,0,0,35964,84474,33664,0,0,199450,38930,15371400,1578886,0,0,0,0,86355220,1904.76,2246,705034,1259374,1022082,503180,886002,634844,467234,365910,962630,181820,0,0
neg,64558,na,444,238,0,0,0,0,0,0,53030,2043000,1436822,60530,786,0,1754214,0,0,0,0,0,3237292,2907478,708060,267544,0,0,0,0,392,156,0,0,0,0,0,412,170288,2718444,705024,0,3780,1592,2168,3542,3208750,374336,0,0,0,0,1422884,785816,361000,258172,177384,134080,126834,174420,81632,71946,3945826,450,510,1050,2,1754214,54180,443102,263744,212740,211960,224560,1310700,1310700,1310700,1310700,1310700,52540,64557.38,3945826,3945826,3953962,19433.0,11664,27118,310460,3594168,1209600,96734,0,392,0,3166008,0,423995.52,na,na,0,0,152,1107660,1897678,510698,61644,13478,2858,0,3272,3482,3945826,na,3784,590,161572,242882,168566,2840704,170676,5376,18,0,268,298,2325920,460756,0,17982,0,0,3203796,3026,1020,0,0,0,0,0,0,0,0,23390,24098,6350,7871894,1296526,133366,21504,1557520,251176,3155428,40412,0,0,63557410,na,na,444688,396886,258426,133116,244910,228536,934624,853498,99478,6,0,0
neg,32526,na,2130706440,584,0,0,0,0,0,0,288,86634,1288792,1318686,135746,25426,1219216,0,0,0,0,0,2370038,1899536,589204,416872,0,0,982,0,3436,412,0,0,0,0,0,0,211760,2193834,449978,0,2554,416,710,930,95178,2755228,556,0,0,0,1128378,773334,194380,126582,99032,89580,148578,295692,16,0,2959694,134,1726,364,88,1219216,37280,200402,384630,252960,214220,na,na,na,na,na,na,116540,32525.89,2959694,2959694,2951314,16960,104,49822,535060,2855572,1209600,78436,2,106,0,2197227.84,0,655027.2,0,540,0,0,0,25418,450598,1471436,860016,43372,4396,336,0,6,2959694,na,4672,500,16120,342946,238306,1997718,249274,5962,72,2,960,916,2190012,216884,0,24850,0,10,2241820,2234,188,0,0,0,0,0,0,0,0,22602,31510,7664,0,0,57854,7806,8044080,812198,0,0,0,0,7579160,1060,1102,671480,772008,306220,164054,296666,391730,119408,63790,67540,2676,0,0
